epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,896.485,1.28074,3.38066,1.82664,0.00896,0.9875,0.11958,0.06136,1.23101,3.60022,2.22752,0.000327044,0.000327044,0.0676226
2,1766.65,1.10178,2.827,1.61332,0.17232,0.35417,0.18649,0.12261,1.11477,3.29772,1.80211,0.00065384,0.00065384,0.0346161
3,2637.98,1.08249,2.53512,1.58065,0.32483,0.46899,0.29691,0.187,0.98299,3.71933,1.62769,0.000974035,0.000974035,0.00160297
4,3505.65,1.01259,2.31982,1.4967,0.35204,0.58851,0.36274,0.27186,0.90538,2.51714,1.54974,0.0009703,0.0009703,0.0009703
5,4374.44,0.97602,2.19848,1.4751,0.38242,0.5696,0.46943,0.37482,0.73232,2.05049,1.20026,0.0009604,0.0009604,0.0009604
6,5242.88,0.9087,2.01147,1.41925,0.55471,0.54651,0.56945,0.50141,0.51879,1.71056,0.9409,0.0009505,0.0009505,0.0009505
7,6111.62,0.89576,1.96454,1.4181,0.36066,0.55364,0.41524,0.33082,0.69645,2.68257,1.12274,0.0009406,0.0009406,0.0009406
8,6977.12,0.8871,1.90027,1.41893,0.62457,0.54628,0.61444,0.5566,0.48089,1.64687,0.99453,0.0009307,0.0009307,0.0009307
9,7842.78,0.83623,1.81942,1.36474,0.53281,0.64423,0.65233,0.60625,0.40922,1.52204,0.86988,0.0009208,0.0009208,0.0009208
10,8709.11,0.83928,1.77165,1.38132,0.63231,0.49281,0.63602,0.57122,0.44933,1.48176,0.91606,0.0009109,0.0009109,0.0009109
11,9578.47,0.85459,1.78038,1.37901,0.73637,0.47696,0.62773,0.56033,0.45968,1.56766,0.90061,0.000901,0.000901,0.000901
12,10447.6,0.83525,1.71057,1.37013,0.74476,0.64214,0.73943,0.64055,0.55628,1.23979,1.01762,0.0008911,0.0008911,0.0008911
13,11315.2,0.8171,1.58839,1.3605,0.7119,0.66211,0.74981,0.7124,0.34996,1.20269,0.85439,0.0008812,0.0008812,0.0008812
14,12185.5,0.80079,1.60421,1.33118,0.76356,0.69164,0.78901,0.72117,0.43997,1.13462,0.88539,0.0008713,0.0008713,0.0008713
15,13053.1,0.79894,1.56393,1.33591,0.80061,0.62858,0.77466,0.68186,0.5021,1.21831,0.98451,0.0008614,0.0008614,0.0008614
16,13922,0.78666,1.51376,1.32537,0.76819,0.66861,0.79315,0.74737,0.35927,1.05635,0.8187,0.0008515,0.0008515,0.0008515
17,14790.5,0.74881,1.4395,1.3011,0.79758,0.62798,0.75571,0.70582,0.39963,1.22438,0.82989,0.0008416,0.0008416,0.0008416
18,15656.8,0.70968,1.3828,1.27388,0.77507,0.65547,0.77448,0.71815,0.39791,1.08585,0.85161,0.0008317,0.0008317,0.0008317
19,16538.1,0.72159,1.3539,1.27464,0.78721,0.67291,0.7731,0.7376,0.34378,1.04518,0.79586,0.0008218,0.0008218,0.0008218
20,17407.1,0.72971,1.36681,1.29477,0.84557,0.57806,0.69659,0.63142,0.45999,1.35263,0.90636,0.0008119,0.0008119,0.0008119
21,18309.8,0.71543,1.36916,1.27572,0.90097,0.60983,0.80139,0.72578,0.4711,1.06523,0.88161,0.000802,0.000802,0.000802
22,19176.9,0.71844,1.30355,1.27081,0.82748,0.62607,0.72031,0.60407,0.73681,1.40047,1.21999,0.0007921,0.0007921,0.0007921
23,20043.9,0.74031,1.34974,1.29504,0.82957,0.64313,0.76397,0.6958,0.35221,1.07769,0.8246,0.0007822,0.0007822,0.0007822
24,20912.7,0.75097,1.30846,1.29048,0.85553,0.66454,0.79901,0.74027,0.39141,0.92904,0.83344,0.0007723,0.0007723,0.0007723
25,21781.5,0.69661,1.30101,1.26611,0.92921,0.68083,0.84176,0.80348,0.33429,0.87742,0.80823,0.0007624,0.0007624,0.0007624
26,22649.8,0.66625,1.2695,1.22767,0.93063,0.70816,0.87817,0.83549,0.35021,0.77622,0.80878,0.0007525,0.0007525,0.0007525
27,23519.4,0.68095,1.23402,1.23982,0.8807,0.70997,0.84694,0.80474,0.32079,0.80264,0.75636,0.0007426,0.0007426,0.0007426
28,24387.9,0.69871,1.29982,1.27166,0.90652,0.71664,0.85493,0.78988,0.38955,0.87602,0.8016,0.0007327,0.0007327,0.0007327
29,25256.7,0.6614,1.23328,1.22612,0.90824,0.70675,0.83256,0.74036,0.46848,0.89795,0.91167,0.0007228,0.0007228,0.0007228
30,26126.1,0.66931,1.20062,1.24607,0.93722,0.72235,0.85798,0.78621,0.40816,0.80839,0.84882,0.0007129,0.0007129,0.0007129
31,26993.7,0.65455,1.19639,1.22588,0.94072,0.68096,0.84526,0.77585,0.41062,0.89807,0.88032,0.000703,0.000703,0.000703
32,27862.8,0.66022,1.20066,1.23404,0.95672,0.6934,0.86362,0.84102,0.28954,0.73991,0.7414,0.0006931,0.0006931,0.0006931
33,28731.7,0.64197,1.17497,1.21997,0.8944,0.71938,0.85563,0.8123,0.34377,0.86779,0.74809,0.0006832,0.0006832,0.0006832
34,29600.3,0.64018,1.15,1.20867,0.96899,0.73248,0.85887,0.83521,0.28031,0.70363,0.7141,0.0006733,0.0006733,0.0006733
35,30468.4,0.64302,1.08778,1.19843,0.95416,0.73033,0.87777,0.84539,0.28342,0.70319,0.68468,0.0006634,0.0006634,0.0006634
