epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.3475,1.87923,2.75218,2.26138,0.00333,1,0.4454,0.18892,1.61729,3.63135,2.65762,0.00034,0.00034,0.00034
2,40.2097,1.46604,2.29452,1.78767,0.00208,0.625,0.33813,0.18874,2.52362,4.11096,2.97019,0.0006769,0.0006769,0.0006769
3,59.9398,1.34555,1.79891,1.63938,0.44114,0.425,0.42275,0.1773,1.86452,3.29227,2.78154,0.00099004,0.00099004,0.00099004
4,79.789,1.45062,1.66859,1.75954,0.41273,0.375,0.2464,0.11115,3.21877,5.2401,3.55443,0.00127942,0.00127942,0.00127942
5,99.7258,1.34196,1.56387,1.61681,0.25469,0.5,0.24646,0.10572,2.84592,5.27911,3.95371,0.00154504,0.00154504,0.00154504
6,119.548,1.25705,1.51476,1.56066,0.35518,0.575,0.33387,0.14242,1.76923,3.65996,2.59466,0.00167,0.00167,0.00167
7,139.31,1.17702,1.42454,1.51922,0.54534,0.5,0.53656,0.28066,1.73248,3.22187,2.49076,0.001604,0.001604,0.001604
8,159.126,1.14873,1.32659,1.48029,0.72648,0.625,0.59324,0.33304,1.77912,3.27336,2.4133,0.001538,0.001538,0.001538
9,178.951,1.1444,1.26572,1.48646,0.74922,0.6,0.74894,0.38669,1.60689,2.68929,2.42985,0.001472,0.001472,0.001472
10,198.635,1.03434,1.1116,1.36981,0.88166,0.975,0.94834,0.68449,0.94308,1.65268,1.48709,0.001406,0.001406,0.001406
11,218.501,1.02404,1.05557,1.36036,0.90674,1,0.96621,0.69569,0.96659,1.61106,1.42268,0.00134,0.00134,0.00134
12,238.356,1.09684,1.07014,1.40228,0.93296,0.9,0.97166,0.75652,0.91577,1.45408,1.30477,0.001274,0.001274,0.001274
13,258.18,1.07412,1.07484,1.39698,0.85828,0.90856,0.9456,0.68823,1.04522,1.61169,1.49908,0.001208,0.001208,0.001208
14,278.271,1.0053,0.97997,1.34216,0.94698,0.95,0.9491,0.5921,1.1453,2.22239,1.59243,0.001142,0.001142,0.001142
15,298.102,0.93799,0.96294,1.31554,0.94702,0.89393,0.9492,0.74694,0.92665,1.52133,1.34257,0.001076,0.001076,0.001076
16,318.004,0.91157,0.89261,1.27995,0.899,0.95,0.93091,0.70231,1.14055,1.55226,1.56949,0.00101,0.00101,0.00101
17,338.054,0.8729,0.87297,1.24227,0.99241,0.925,0.94292,0.71711,1.02587,1.35347,1.4011,0.000944,0.000944,0.000944
18,357.832,0.91881,0.84948,1.32092,0.99875,0.95,0.96323,0.79328,0.74879,1.198,1.0916,0.000878,0.000878,0.000878
19,377.62,0.86341,0.79809,1.25086,0.93528,0.95,0.96149,0.80717,0.75857,1.14313,1.05156,0.000812,0.000812,0.000812
20,397.519,0.81961,0.79841,1.24287,0.88071,0.95,0.9604,0.80461,0.75513,1.20826,1.11545,0.000746,0.000746,0.000746
21,419.544,0.72149,1.2506,1.30485,0.95122,0.97491,0.97354,0.76856,0.84196,1.01985,1.20213,0.00068,0.00068,0.00068
22,441.439,0.69491,1.07264,1.31577,0.99815,1,0.995,0.86018,0.62872,1.00879,0.95406,0.000614,0.000614,0.000614
23,463.49,0.6065,0.95813,1.23073,0.997,1,0.995,0.86681,0.65248,1.1029,0.99285,0.000548,0.000548,0.000548
24,485.467,0.63196,0.93611,1.27707,0.99802,1,0.995,0.85984,0.62879,1.0027,0.96573,0.000482,0.000482,0.000482
25,507.511,0.58609,0.88381,1.24057,0.99841,1,0.995,0.89824,0.50724,0.82043,0.84959,0.000416,0.000416,0.000416
26,530.109,0.53325,0.80745,1.18023,0.97358,1,0.99451,0.90695,0.50343,0.83299,0.86467,0.00035,0.00035,0.00035
27,552.203,0.56044,0.82528,1.2269,0.99782,1,0.995,0.89944,0.55467,0.82994,0.92908,0.000284,0.000284,0.000284
28,574.255,0.49856,0.77623,1.12832,0.99827,1,0.995,0.89847,0.55325,0.7814,0.92628,0.000218,0.000218,0.000218
29,596.456,0.49758,0.76812,1.17295,0.99849,1,0.995,0.90113,0.52901,0.76803,0.89453,0.000152,0.000152,0.000152
30,618.401,0.48736,0.74544,1.16135,0.99863,1,0.995,0.90891,0.50978,0.75566,0.88243,8.6e-05,8.6e-05,8.6e-05
